"season","horizon","Sample_name","Sample.position","Easotope.Name","ID","d13C","d18O","D47","Type","Sample.description","Height","D47_SD","N","mean_D47","sd_D47","D47_pooled_SD","D47_se","D47_CL95","T47_sample","T47_max_sample","T47_min_sample","T47_95CL_sample","d18Ow","d18Ow_min","d18Ow_max","d18Ow_95CL","T47_mean_all","T47_95CL_all","d18Ow_mean_all","d18Ow_95CL_all","T47_horizon","T47_max_horizon","T47_min_horizon","d18Ow_horizon","d18Ow_max_horizon","d18Ow_min_horizon","T47_season","T47_max_season","T47_min_season","d18Ow_season","d18Ow_max_season","d18Ow_min_season","T47_season_horizon","T47_max_season_horizon","T47_min_season_horizon","T47_95CL_season_horizon","d18Ow_season_horizon","d18Ow_max_season_horizon","d18Ow_min_season_horizon","d18Ow_95CL_season_horizon"
"first quarter","Zk13-21","N-3-p","R39","5","2023-06-08 20:21 CST",-4.12,-3.2,0.591,"sample","protoconch","?6",0.0280474077920924,3,0.601,0.0111355287256601,0.0301770953515398,0.0174227541245725,0.0749640605938457,25.9715208080594,38.6613480238581,14.7147359564497,11.9733060337042,-1.69273714100013,1.23118618061247,-4.28646636948165,-2.75882627504706,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,24.558579777134,26.6671607949109,22.493870281897,-1.80566801157475,-1.31981985079666,-2.28140752660631,21.783110193346,23.3081664025968,20.2813502332053,-2.55914204454392,-2.2077466046244,-2.90516968512935,21.6192129257886,24.9100235353708,18.4350487177109,3.23748740882996,-2.81807305857404,-2.0598217660436,-3.55175144753206,0.745964840744231
"first quarter","Zk13-21","N-11-b","R38","21","2023-08-25 02:52 CST",-5.55,-3.15,0.616,"sample","body whorl","04/Jun",0.0280474077920924,2,0.6065,0.0134350288425444,0.0310991492464975,0.0219904193213309,0.279414770131162,17.7658548997195,32.6871823300669,4.83498802989959,13.9260971500837,-3.5334435714932,-0.0953496935329615,-6.5129059838941,-3.20877814518057,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,24.558579777134,26.6671607949109,22.493870281897,-1.80566801157475,-1.31981985079666,-2.28140752660631,21.783110193346,23.3081664025968,20.2813502332053,-2.55914204454392,-2.2077466046244,-2.90516968512935,21.6192129257886,24.9100235353708,18.4350487177109,3.23748740882996,-2.81807305857404,-2.0598217660436,-3.55175144753206,0.745964840744231
"first quarter","Zk13-21","N-3-b2","R34","7","2023-06-06 09:33 CST",-4.82,-3.64,0.587,"sample","part body whorl","?6",0.0280474077920924,3,0.605333333333333,0.0158850034099252,0.0322333742755744,0.0186099473148928,0.0800721406149173,27.3499682976394,41.1623160543519,15.2119002521039,12.975207901124,-1.81512251206466,1.36744609547279,-4.61191238430786,-2.98967923989032,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,24.558579777134,26.6671607949109,22.493870281897,-1.80566801157475,-1.31981985079666,-2.28140752660631,21.783110193346,23.3081664025968,20.2813502332053,-2.55914204454392,-2.2077466046244,-2.90516968512935,21.6192129257886,24.9100235353708,18.4350487177109,3.23748740882996,-2.81807305857404,-2.0598217660436,-3.55175144753206,0.745964840744231
"first quarter","Zk13-6-1","N-1-b","R56","2","2023-06-07 05:54 CST",-3.79,-2.14,0.615,"sample","body whorl","04/Jun",0.0280474077920924,3,0.604666666666667,0.015373136743467,0.0319842213785057,0.0184660988227009,0.0794532105073171,18.0812109325822,30.4982125099036,7.07267451936065,11.7127689952715,-2.4507808911101,0.410279380162113,-4.9873100185805,-2.6987946993713,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,25.6046013076661,27.8717064140076,23.387959757473,-1.06616969357411,-0.543795245108342,-1.57691659454028,21.783110193346,23.3081664025968,20.2813502332053,-2.55914204454392,-2.2077466046244,-2.90516968512935,21.4933238690431,23.6728522237412,19.3611129510859,2.15586963632768,-1.73381052290748,-1.23161504947472,-2.22510336114646,0.496744155835871
"first quarter","Zk13-6-1","N-6-b2","R58","8","2023-09-26 17:11 CST",-4.74,-2.25,0.615,"sample","body whorl","?6",0.0280474077920924,3,0.604666666666667,0.0161967074843418,0.0323881215446228,0.0186992906923343,0.0804565541417509,18.0812109325822,30.6653243562606,6.94153260600274,11.8618958751289,-2.5607808911101,0.338784413884934,-5.12752704930813,-2.73315573159653,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,25.6046013076661,27.8717064140076,23.387959757473,-1.06616969357411,-0.543795245108342,-1.57691659454028,21.783110193346,23.3081664025968,20.2813502332053,-2.55914204454392,-2.2077466046244,-2.90516968512935,21.4933238690431,23.6728522237412,19.3611129510859,2.15586963632768,-1.73381052290748,-1.23161504947472,-2.22510336114646,0.496744155835871
"first quarter","Zk13-6-1","N-2-p","R51","3","2023-06-07 08:12 CST",-2.79,-1.53,0.595,"sample","protoconch","04/Jun",0.0280474077920924,3,0.602333333333333,0.0110151410945722,0.0301328793378472,0.0173972259971646,0.0748542219267686,24.6118704926378,37.1026168802458,13.5176537146247,11.7924815828105,-0.33602062381617,2.54203153922713,-2.8922917708238,-2.71716165502547,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,25.6046013076661,27.8717064140076,23.387959757473,-1.06616969357411,-0.543795245108342,-1.57691659454028,21.783110193346,23.3081664025968,20.2813502332053,-2.55914204454392,-2.2077466046244,-2.90516968512935,21.4933238690431,23.6728522237412,19.3611129510859,2.15586963632768,-1.73381052290748,-1.23161504947472,-2.22510336114646,0.496744155835871
"first quarter","Zk13-6-1","N-w","R55","3N","2023-02-18 10:23 CST",-1.57,-2.15,0.608,"sample","whole whorls","04/Jun",0.0280474077920924,2,0.604,0.00565685424949239,0.0286121841853419,0.0202318694620137,0.257070275579907,20.3177972412325,34.3404133440185,8.05378012345847,13.14331661028,-1.94543842367914,1.285579111525,-4.77124881947962,-3.02841396550231,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,25.6046013076661,27.8717064140076,23.387959757473,-1.06616969357411,-0.543795245108342,-1.57691659454028,21.783110193346,23.3081664025968,20.2813502332053,-2.55914204454392,-2.2077466046244,-2.90516968512935,21.4933238690431,23.6728522237412,19.3611129510859,2.15586963632768,-1.73381052290748,-1.23161504947472,-2.22510336114646,0.496744155835871
"first quarter","Zk13-6-1","N-6-p","R46","6","2023-09-26 08:44 CST",-3.85,-2.27,0.599,"sample","protoconch","?6",0.0280474077920924,2,0.607,0.0113137084989848,0.0302432981643194,0.0213852412174369,0.271725253241236,23.2705939865277,38.6322663798579,9.97656570592227,14.3278503369678,-1.38507051001666,2.15448534098109,-4.44821066683819,-3.30134800390964,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,25.6046013076661,27.8717064140076,23.387959757473,-1.06616969357411,-0.543795245108342,-1.57691659454028,21.783110193346,23.3081664025968,20.2813502332053,-2.55914204454392,-2.2077466046244,-2.90516968512935,21.4933238690431,23.6728522237412,19.3611129510859,2.15586963632768,-1.73381052290748,-1.23161504947472,-2.22510336114646,0.496744155835871
"first quarter","Zk13-6-4","N-7-b2","R64","11","2023-08-21 23:34 CST",-6.43,-4.63,0.585,"sample","body whorl","?6",0.0280474077920924,2,0.597,0.0169705627484772,0.0327819627822363,0.0231803481839243,0.294534249880758,28.0463770376451,45.6817396595148,13.0469818520914,16.3173789037117,-2.64465966874536,1.41878793998038,-6.10074150873469,-3.75976472435753,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,23.5405798496586,26.0972551298281,21.0483347082798,-3.01238559531677,-2.42328990864177,-3.58663562789253,21.783110193346,23.3081664025968,20.2813502332053,-2.55914204454392,-2.2077466046244,-2.90516968512935,22.3497449331948,26.4242265437244,18.4371154606441,3.99355554154013,-3.52058104457878,-2.58176039699131,-4.42210857281625,0.920174087912473
"first quarter","Zk13-6-4","N-8-b1","R61","13","2023-09-27 21:42 CST",-6.34,-3.29,0.606,"sample","middle whorls","?6",0.0280474077920924,2,0.5975,0.0120208152801713,0.0305148666039347,0.0215772691026451,0.274165198865745,20.9663456504264,36.0993446676821,7.8575553554075,14.1208946561373,-2.93600330635337,0.55086282665486,-5.95646189967569,-3.25366236316528,24.6572299064881,1.28677704491096,-1.88676317582124,0.296492406661512,23.5405798496586,26.0972551298281,21.0483347082798,-3.01238559531677,-2.42328990864177,-3.58663562789253,21.783110193346,23.3081664025968,20.2813502332053,-2.55914204454392,-2.2077466046244,-2.90516968512935,22.3497449331948,26.4242265437244,18.4371154606441,3.99355554154013,-3.52058104457878,-2.58176039699131,-4.42210857281625,0.920174087912473
